bar,beat,note,chord,replaced,original_value
1,1,44,C,False,
1,2,44,C,True,42
1,3,41,C,False,
1,4,50,C,False,
2,1,47,C,False,
2,2,47,C,False,
2,3,44,C,True,47
2,4,51,C,False,
3,1,43,G7,False,
3,2,44,G7,False,
3,3,45,G7,True,47
3,4,47,G7,False,
4,1,39,C,True,37
4,2,45,C,True,51
4,3,36,C,True,41
4,4,41,C,False,
5,1,46,C,True,43
5,2,43,C,False,
5,3,41,C,False,
5,4,51,C,False,
6,1,47,C,False,
6,2,43,C,True,47
6,3,45,C,True,45
6,4,36,C,True,38
7,1,47,G7,True,34
7,2,36,G7,True,51
7,3,41,G7,True,38
7,4,38,G7,False,
8,1,43,C,False,
8,2,42,C,False,
8,3,42,C,True,41
8,4,40,C,False,
9,1,37,C,True,43
9,2,50,C,True,37
9,3,38,C,False,
9,4,48,C,True,44
10,1,42,C,False,
10,2,42,C,False,
10,3,37,C,False,
10,4,34,C,True,37
11,1,43,G7,True,38
11,2,35,G7,True,38
11,3,37,G7,False,
11,4,44,G7,False,
12,1,37,C,False,
12,2,47,C,True,37
12,3,50,C,False,
12,4,50,C,False,
13,1,43,C,False,
13,2,43,C,False,
13,3,42,C,False,
13,4,42,C,False,
14,1,47,C,False,
14,2,47,C,False,
14,3,41,C,True,47
14,4,47,C,False,
15,1,47,G7,False,
15,2,51,G7,False,
15,3,38,G7,False,
15,4,38,G7,False,
16,1,50,C,True,43
16,2,43,C,False,
16,3,47,C,False,
16,4,44,C,True,42
17,1,43,C7,False,
17,2,43,C7,False,
17,3,44,C7,False,
17,4,44,C7,False,
18,1,42,C7,False,
18,2,42,C7,False,
18,3,37,C7,False,
18,4,37,C7,False,
19,1,48,F7,False,
19,2,37,F7,False,
19,3,49,F7,True,37
19,4,37,F7,False,
20,1,35,F7,True,43
20,2,42,F7,True,41
20,3,41,F7,False,
20,4,45,F7,True,47
21,1,42,Bb7,False,
21,2,48,Bb7,True,41
21,3,42,Bb7,False,
21,4,35,Bb7,True,43
22,1,40,Bb7,True,41
22,2,47,Bb7,True,42
22,3,34,Bb7,True,44
22,4,37,Bb7,False,
23,1,36,Ab7,True,38
23,2,38,Ab7,False,
23,3,38,Ab7,True,38
23,4,38,Ab7,False,
24,1,41,G7,True,37
24,2,45,G7,False,
24,3,38,G7,False,
24,4,42,G7,False,
25,1,42,C,False,
25,2,43,C,False,
25,3,41,C,False,
25,4,39,C,False,
26,1,47,C,True,47
26,2,47,C,False,
26,3,45,C,True,47
26,4,51,C,False,
27,1,50,G7,False,
27,2,45,G7,False,
27,3,42,G7,True,47
27,4,47,G7,False,
28,1,47,C,False,
28,2,47,C,False,
28,3,42,C,False,
28,4,42,C,False,
29,1,51,C,True,42
29,2,43,C,False,
29,3,41,C,False,
29,4,50,C,False,
30,1,47,C,False,
30,2,47,C,False,
30,3,45,C,False,
30,4,38,C,False,
31,1,34,G7,False,
31,2,51,G7,False,
31,3,38,G7,False,
31,4,47,G7,True,37
32,1,43,C,False,
32,2,43,C,False,
32,3,37,C,False,
32,4,50,C,False,
33,1,38,NC,False,
