bar,beat,note,chord,replaced,original_value
1,1,43,Eb-,True,51
1,2,51,Eb-,False,
1,3,49,Eb-j7,True,51
1,4,51,Eb-7,False,
2,1,51,Ab7,True,51
2,2,51,Ab7,False,
2,3,51,Ab7,False,
2,4,51,Ab7,False,
3,1,51,Eb-,False,
3,2,50,Eb-,True,51
3,3,51,Eb-j7,True,51
3,4,51,Eb-7,False,
4,1,51,Ab7,False,
4,2,47,Ab7,True,51
4,3,51,Ab7,False,
4,4,51,Ab7,False,
5,1,51,Db/Ab,False,
5,2,51,Db/Ab,False,
5,3,51,Db/Ab,False,
5,4,51,Db/Ab,False,
6,1,51,F+/Ab,True,51
6,2,50,F+/Ab,True,51
6,3,51,G+/Ab,False,
6,4,51,G+/Ab,False,
7,1,45,F-7/Ab,True,51
7,2,51,F-7/Ab,False,
7,3,51,F-7/Ab,False,
7,4,47,F-7/Ab,False,
8,1,47,E-7,False,
8,2,47,E-7,False,
8,3,51,A7,False,
8,4,39,A7,False,
9,1,51,Absus,False,
9,2,51,Absus,False,
9,3,51,Absus,False,
9,4,51,Absus,False,
10,1,51,Absus,False,
10,2,51,Absus,False,
10,3,51,Absus,False,
10,4,43,Absus,True,51
11,1,51,Ab7,False,
11,2,45,Ab7,True,51
11,3,51,Ab7,False,
11,4,42,Ab7,False,
12,1,44,B7911#,True,42
12,2,50,B7911#,True,42
12,3,44,B7911#,False,
12,4,47,B7911#,False,
13,1,51,F+/Ab,False,
13,2,51,F+/Ab,False,
13,3,51,G+/Ab,False,
13,4,51,G+/Ab,False,
14,1,51,F+/Ab,False,
14,2,51,F+/Ab,False,
14,3,51,G+/Ab,False,
14,4,51,G+/Ab,False,
15,1,47,F+/Ab,True,51
15,2,51,F+/Ab,False,
15,3,51,Ab79b,False,
15,4,47,Ab79b,False,
16,1,44,Db,False,
16,2,43,Db,False,
16,3,44,F79b13b,True,48
16,4,41,Bb+7,False,
17,1,51,Eb-,False,
17,2,43,Eb-,True,51
17,3,46,Eb-j7,True,51
17,4,51,Eb-7,False,
18,1,51,Ab7,False,
18,2,51,Ab7,False,
18,3,51,Ab7,False,
18,4,51,Ab7,False,
19,1,48,Eb-,True,51
19,2,51,Eb-,False,
19,3,51,Eb-j7,False,
19,4,51,Eb-7,False,
20,1,51,Ab7,False,
20,2,51,Ab7,False,
20,3,51,Ab7,False,
20,4,51,Ab7,False,
21,1,51,Db/Ab,False,
21,2,51,Db/Ab,False,
21,3,51,Db/Ab,False,
21,4,51,Db/Ab,False,
22,1,51,F+/Ab,False,
22,2,49,F+/Ab,True,51
22,3,48,G+/Ab,True,51
22,4,51,G+/Ab,False,
23,1,51,F-7/Ab,False,
23,2,51,F-7/Ab,False,
23,3,51,F-7/Ab,False,
23,4,51,F-7/Ab,False,
24,1,47,E-7,False,
24,2,47,E-7,False,
24,3,43,A7,True,51
24,4,39,A7,False,
25,1,51,Absus,False,
25,2,51,Absus,False,
25,3,46,Absus,True,51
25,4,51,Absus,False,
26,1,51,Absus,False,
26,2,51,Absus,False,
26,3,51,Absus,False,
26,4,51,Absus,False,
27,1,49,Ab7,True,51
27,2,51,Ab7,False,
27,3,43,Ab7,True,51
27,4,51,Ab7,False,
28,1,42,B7911#,False,
28,2,42,B7911#,False,
28,3,44,B7911#,False,
28,4,47,B7911#,False,
29,1,51,F+/Ab,False,
29,2,51,F+/Ab,False,
29,3,51,G+/Ab,False,
29,4,51,G+/Ab,False,
30,1,50,F+/Ab,True,51
30,2,51,F+/Ab,False,
30,3,51,G+/Ab,False,
30,4,51,G+/Ab,False,
31,1,51,F+/Ab,False,
31,2,51,F+/Ab,False,
31,3,51,Ab79b,False,
31,4,51,Ab79b,False,
32,1,43,Db,False,
32,2,49,Db,True,43
32,3,47,E-7,False,
32,4,51,A7,False,
33,1,45,Dj7,False,
33,2,45,Dj7,False,
33,3,45,Dj7,False,
33,4,45,Dj7,False,
34,1,47,E-7,False,
34,2,47,E-7,False,
34,3,47,E-7,False,
34,4,47,E-7,False,
35,1,49,D/F#,False,
35,2,47,D/F#,False,
35,3,43,D/F#,True,49
35,4,49,D/F#,True,37
36,1,50,G-7,False,
36,2,47,G-7,True,50
36,3,42,C7,False,
36,4,46,C7,True,42
37,1,48,Dj7,True,45
37,2,45,Dj7,False,
