bar,beat,note,chord,replaced,original_value
1,1,44,Cj7,False,
1,2,45,Cj7,False,
1,3,47,Cj7,False,
1,4,49,Cj7,False,
2,1,51,Cj7,False,
2,2,43,Cj7,False,
2,3,48,Cj7,False,
2,4,51,Cj7,False,
3,1,44,Cj7,False,
3,2,45,Cj7,False,
3,3,48,Cj7,False,
3,4,49,Cj7,False,
4,1,51,Eb-7,False,
4,2,48,Eb-7,False,
4,3,48,Ab79,True,51
4,4,47,Ab79,False,
5,1,45,D-7,False,
5,2,47,D-7,True,47
5,3,49,D-7,False,
5,4,50,D-7,False,
6,1,51,G7,False,
6,2,48,G7,True,51
6,3,51,G7,False,
6,4,44,G7,False,
7,1,38,D-7,False,
7,2,44,D-7,False,
7,3,40,D-7,True,44
7,4,44,D-7,False,
8,1,51,G7,False,
8,2,44,G7,False,
8,3,51,G7,False,
8,4,51,G7,False,
9,1,44,Cj7,False,
9,2,52,Cj7,True,45
9,3,48,Cj7,False,
9,4,49,Cj7,False,
10,1,51,Cj7,False,
10,2,38,Cj7,True,48
10,3,48,Cj7,False,
10,4,51,Cj7,False,
11,1,44,Cj7,False,
11,2,45,Cj7,False,
11,3,48,Cj7,False,
11,4,51,Cj7,False,
12,1,47,Eb-7,False,
12,2,51,Eb-7,True,51
12,3,51,Ab79,False,
12,4,38,Ab79,True,47
13,1,45,D-7,False,
13,2,42,D-7,True,50
13,3,37,D-7,True,49
13,4,45,D-7,False,
14,1,51,G7,False,
14,2,43,G7,False,
14,3,44,G7,False,
14,4,39,G7,True,44
15,1,42,D-7,True,45
15,2,47,D-7,False,
15,3,49,D-7,False,
15,4,50,D-7,False,
16,1,40,G7,True,51
16,2,46,G7,True,51
16,3,50,G7,False,
16,4,41,G7,True,43
17,1,44,G-7,False,
17,2,44,G-7,False,
17,3,44,G-7,False,
17,4,44,G-7,False,
18,1,51,G-7,False,
18,2,44,G-7,False,
18,3,51,G-7,False,
18,4,52,G-7,False,
19,1,46,Csus79,True,51
19,2,51,Csus79,False,
19,3,45,Csus79,False,
19,4,51,Csus79,True,45
20,1,44,C7,False,
20,2,44,C7,False,
20,3,51,C7,False,
20,4,43,C7,False,
21,1,46,Fj7,True,49
21,2,37,Fj7,False,
21,3,51,Fj7,False,
21,4,51,Fj7,False,
22,1,42,Fj7,True,51
22,2,47,Fj7,True,44
22,3,41,Fj7,True,38
