bar,beat,note,chord,replaced,original_value
1,1,40,Gj7,True,38
1,2,48,F7,False,
1,3,47,E7,False,
1,4,41,E7,False,
2,1,40,A-7,False,
2,2,38,A-7,False,
2,3,37,D7,False,
2,4,42,Ebo,False,
3,1,47,E-7,False,
3,2,47,E-7,False,
3,3,45,D-7,False,
3,4,49,G7,True,50
4,1,46,C7,True,43
4,2,36,C7,True,47
4,3,49,B7,False,
4,4,42,B7,False,
5,1,47,E7,False,
5,2,41,E7,False,
5,3,40,A7,False,
5,4,44,A7,False,
6,1,45,A-7,False,
6,2,47,A-7,False,
6,3,48,D7,False,
6,4,50,D7,False,
7,1,42,Gj7,False,
7,2,48,F7,False,
7,3,47,E7,False,
7,4,41,E7,False,
8,1,52,A7,False,
8,2,34,A7,False,
8,3,42,D7,True,45
8,4,37,D7,False,
9,1,47,Gj7,True,38
9,2,40,F7,True,37
9,3,35,E7,False,
9,4,39,E7,False,
10,1,40,A-7,False,
10,2,50,A-7,False,
10,3,49,D7,False,
10,4,48,Ebo,True,42
11,1,47,E-7,False,
11,2,34,E-7,False,
11,3,41,D-7,True,45
11,4,36,G7,True,50
12,1,43,C7,False,
12,2,51,C7,True,47
12,3,50,B7,True,37
12,4,49,B7,True,42
13,1,47,E7,False,
13,2,41,E7,False,
13,3,45,A7,False,
13,4,43,A7,False,
14,1,45,A-7,False,
14,2,49,A-7,True,47
14,3,44,D7,True,48
14,4,49,D7,False,
15,1,34,G6,True,50
15,2,42,G6,False,
15,3,43,C7,False,
15,4,44,Dbo,False,
16,1,45,G6/D,False,
16,2,43,G6/D,True,51
16,3,50,G7,False,
16,4,35,Db7,True,44
17,1,43,Cj7,False,
17,2,50,Cj7,False,
17,3,42,Bm7b5,True,42
17,4,47,E7,False,
18,1,40,A-7,False,
18,2,51,Ab7,False,
18,3,44,G-7,True,50
18,4,39,C7,True,37
19,1,46,F7,True,48
19,2,52,F7,True,52
19,3,47,E7,False,
19,4,42,E7,True,42
20,1,41,A-7,True,40
20,2,51,Ab7,False,
20,3,50,G-7,False,
20,4,37,C7,False,
21,1,48,F7,False,
21,2,37,F7,False,
21,3,47,E7,False,
21,4,44,E7,True,42
22,1,42,Eb7911#,True,34
22,2,36,Eb7911#,True,40
22,3,43,D7,True,45
22,4,47,D7,False,
23,1,48,F7,False,
23,2,43,F7,False,
23,3,47,E7,False,
23,4,42,E7,False,
24,1,34,Eb7911#,False,
24,2,40,Eb7911#,False,
24,3,46,D7,True,45
24,4,37,D7,False,
25,1,38,Gj7,False,
25,2,35,F7,True,37
25,3,35,E7,False,
25,4,41,E7,False,
26,1,40,A-7,False,
26,2,40,A-7,False,
26,3,49,D7,False,
26,4,42,Ebo,False,
27,1,47,E-7,False,
27,2,34,E-7,False,
27,3,37,D-7,True,45
27,4,50,G7,False,
28,1,43,C7,False,
28,2,47,C7,False,
28,3,49,B7,False,
28,4,42,B7,False,
29,1,47,E7,False,
29,2,41,E7,False,
29,3,41,A7,True,40
29,4,44,A7,False,
30,1,45,A-7,False,
30,2,47,A-7,False,
30,3,48,D7,False,
30,4,49,D7,False,
31,1,50,G6,False,
31,2,34,F7,True,48
31,3,47,E7,False,
31,4,45,E7,True,41
32,1,40,A7,False,
32,2,49,A7,True,34
32,3,46,D7,True,45
32,4,37,D7,False,
33,1,37,Gj7,True,38
33,2,41,F7,True,42
33,3,43,E7,True,47
33,4,41,E7,False,
