bar,beat,note,chord,replaced,original_value
1,1,50,G,False,
1,2,46,G,True,50
1,3,49,G,True,40
1,4,38,G,False,
2,1,38,C-7,False,
2,2,50,C-7,True,40
2,3,40,F7,True,40
2,4,38,F7,False,
3,1,51,G,False,
3,2,37,G,False,
3,3,50,G,False,
3,4,50,G,False,
4,1,50,C-7,True,51
4,2,40,C-7,False,
4,3,40,F7,False,
4,4,37,F7,True,40
5,1,40,Bb,False,
5,2,51,Bb,True,40
5,3,51,Bb,False,
5,4,38,Bb,False,
6,1,38,A-7,False,
6,2,39,A-7,True,50
6,3,42,D7,True,50
6,4,40,D7,False,
7,1,47,G,True,50
7,2,50,G,False,
7,3,48,G,True,51
7,4,51,G,False,
8,1,51,A-7,True,51
8,2,38,A-7,False,
8,3,48,D7,True,40
8,4,38,D7,False,
9,1,38,G,False,
9,2,40,G,False,
9,3,51,G,False,
9,4,42,G,True,51
10,1,39,C-7,True,51
10,2,42,C-7,True,38
10,3,46,F7,True,38
10,4,40,F7,False,
11,1,38,G,False,
11,2,38,G,False,
11,3,38,G,False,
11,4,40,G,False,
12,1,48,C-7,True,40
12,2,38,C-7,True,51
12,3,40,F7,False,
12,4,40,F7,False,
13,1,46,Bb,True,40
13,2,51,Bb,False,
13,3,44,Bb,True,51
13,4,50,Bb,False,
14,1,37,A-6,False,
14,2,45,A-6,True,50
14,3,49,D7,False,
14,4,47,D7,False,
15,1,46,G,True,45
15,2,47,G,False,
15,3,49,G,False,
15,4,50,G,False,
16,1,47,G7,True,50
16,2,50,G7,False,
16,3,50,G7,False,
16,4,39,G7,False,
17,1,44,C-,True,38
17,2,45,C-,False,
17,3,45,C-,False,
17,4,51,C-,True,49
18,1,40,Ab7,False,
18,2,45,Ab7,True,41
18,3,48,G7,True,50
18,4,42,G7,True,50
19,1,50,C-,False,
19,2,44,C-,True,40
19,3,45,C-,True,40
19,4,42,C-,True,50
20,1,47,Ab7,True,48
20,2,42,Ab7,True,47
20,3,44,G7,True,45
20,4,42,G7,False,
21,1,43,Eb,False,
21,2,47,Eb,False,
21,3,50,Eb,False,
21,4,49,Eb,True,50
22,1,51,F-7,False,
22,2,51,F-7,False,
22,3,43,Bb7,True,45
22,4,48,Bb7,False,
23,1,46,Eb7,True,42
23,2,49,Eb7,True,50
23,3,38,Eb7,True,40
23,4,42,Eb7,True,38
24,1,38,A-7,False,
24,2,51,A-7,False,
24,3,50,D7,False,
24,4,40,D7,True,38
25,1,50,G,False,
25,2,38,G,False,
25,3,38,G,False,
25,4,40,G,False,
26,1,40,C-7,False,
26,2,44,C-7,True,51
26,3,51,F7,False,
26,4,48,F7,True,51
27,1,38,G,False,
27,2,50,G,False,
27,3,48,G,True,50
27,4,50,G,False,
28,1,38,C-7,False,
28,2,37,C-7,True,38
28,3,51,F7,True,40
28,4,42,F7,True,40
29,1,42,Bb,False,
29,2,38,Bb,False,
29,3,50,Bb,False,
29,4,46,Bb,True,47
30,1,39,A-7,True,38
30,2,48,A-7,True,40
30,3,44,D7,True,40
30,4,49,D7,False,
31,1,46,G,True,50
31,2,50,G,False,
31,3,46,G,True,47
31,4,50,G,True,41
32,1,40,A-7,False,
32,2,39,A-7,True,40
32,3,38,D7,False,
32,4,42,D7,True,37
33,1,38,G,False,
33,2,40,G,False,
33,3,40,G,False,
33,4,42,G,False,
34,1,44,C-7,False,
34,2,44,C-7,False,
34,3,39,F7,True,44
34,4,49,F7,False,
35,1,50,G,True,50
35,2,37,G,True,40
35,3,40,G,False,
35,4,49,G,True,51
36,1,45,C-7,True,40
36,2,45,C-7,True,38
36,3,48,F7,True,51
36,4,51,F7,False,
37,1,51,Bb,False,
37,2,45,Bb,False,
37,3,51,Bb,True,38
37,4,40,Bb,False,
38,1,51,A-7,True,40
38,2,47,A-7,True,47
38,3,41,D7,True,40
38,4,40,D7,False,
39,1,38,G,False,
39,2,38,G,False,
39,3,38,G,False,
39,4,49,G,True,40
40,1,47,A-7,True,40
40,2,38,A-7,True,40
40,3,51,D7,True,40
40,4,50,D7,True,51
41,1,50,G,False,
41,2,42,G,False,
41,3,42,G,False,
41,4,50,G,False,
42,1,48,C-7,True,50
42,2,47,C-7,True,38
42,3,48,F7,False,
42,4,47,F7,False,
43,1,45,G,False,
43,2,50,G,False,
43,3,38,G,True,40
43,4,39,G,True,42
44,1,38,C-7,False,
44,2,51,C-7,True,38
44,3,38,F7,False,
44,4,42,F7,True,40
45,1,47,Bb,True,38
45,2,40,Bb,True,38
45,3,49,Bb,True,38
45,4,46,Bb,True,40
46,1,38,A-7,False,
46,2,44,A-7,True,38
46,3,48,D7,True,38
46,4,38,D7,False,
47,1,50,G,True,38
47,2,46,G,True,51
47,3,37,G,False,
47,4,50,G,False,
48,1,48,G7,False,
48,2,50,G7,True,47
48,3,37,G7,True,45
48,4,44,G7,False,
49,1,51,C-,True,44
49,2,39,C-,True,50
49,3,50,C-,True,50
49,4,50,C-,False,
50,1,38,Ab7,False,
50,2,50,Ab7,True,50
50,3,49,G7,False,
50,4,45,G7,True,45
51,1,50,C-,True,43
51,2,44,C-,True,45
51,3,47,C-,True,45
51,4,50,C-,True,50
52,1,50,Ab7,False,
52,2,50,Ab7,False,
52,3,45,G7,True,48
52,4,45,G7,False,
53,1,42,Eb,False,
53,2,42,Eb,False,
53,3,41,Eb,True,50
53,4,49,Eb,True,50
54,1,38,F-7,False,
54,2,40,F-7,False,
54,3,49,Bb7,True,40
54,4,42,Bb7,True,40
55,1,39,Eb7,False,
55,2,37,Eb7,True,51
55,3,51,Eb7,True,38
55,4,40,Eb7,False,
56,1,40,A-7,False,
56,2,44,A-7,False,
56,3,38,D7,True,40
56,4,49,D7,False,
57,1,50,G,False,
57,2,48,G,True,50
57,3,38,G,False,
57,4,38,G,True,50
58,1,38,C-7,False,
58,2,44,C-7,False,
58,3,39,F7,True,50
58,4,46,F7,True,40
59,1,47,G,True,50
59,2,50,G,False,
59,3,38,G,False,
59,4,51,G,True,39
60,1,39,C-7,True,50
60,2,38,C-7,False,
60,3,39,F7,True,43
60,4,47,F7,True,43
61,1,50,Bb,False,
61,2,38,Bb,False,
61,3,45,Bb,False,
61,4,45,Bb,False,
62,1,47,A-7,False,
62,2,47,A-7,False,
62,3,49,D7,False,
62,4,37,D7,True,49
63,1,46,G,True,50
63,2,45,G,True,42
63,3,49,G,True,47
63,4,47,G,False,
64,1,46,G,True,40
64,2,40,G,False,
64,3,40,G,True,47
64,4,49,G,False,
65,1,50,G,False,
65,2,39,G,True,40
65,3,39,G,True,45
65,4,46,G,True,50
66,1,42,C-7,True,38
66,2,39,C-7,False,
66,3,38,F7,True,38
66,4,51,F7,False,
67,1,42,F7,True,50
67,2,40,F7,False,
67,3,41,F7,True,45
67,4,50,F7,False,
68,1,49,F7,True,50
68,2,50,F7,False,
68,3,48,F7,True,47
68,4,46,F7,True,40
69,1,46,F7,True,38
69,2,46,F7,True,50
69,3,39,F7,True,50
69,4,37,F7,True,47
