bar,beat,note,chord,replaced,original_value
1,1,50,G-,False,
1,2,37,G-,False,
1,3,37,G-,False,
1,4,44,G-,True,37
2,1,44,G-,True,37
2,2,44,G-,True,44
2,3,37,G-,False,
2,4,44,G-,False,
3,1,44,D7,True,45
3,2,44,D7,True,45
3,3,48,D7,False,
3,4,44,D7,False,
4,1,45,D7,True,44
4,2,44,D7,False,
4,3,43,D7,True,44
4,4,45,D7,True,45
5,1,44,D7,False,
5,2,44,D7,False,
5,3,45,D7,True,37
5,4,44,D7,False,
6,1,44,D7,False,
6,2,45,D7,True,41
6,3,37,D7,False,
6,4,45,D7,True,37
7,1,50,G-,False,
7,2,43,G-,True,50
7,3,43,G-,True,48
7,4,48,G-,False,
8,1,44,G-,True,47
8,2,45,G-,False,
8,3,45,D7,False,
8,4,45,D7,False,
9,1,44,G-,True,50
9,2,50,G-,False,
9,3,44,G-,False,
9,4,44,G-,True,44
10,1,44,G-,False,
10,2,45,G-,False,
10,3,43,G-,True,44
10,4,44,G-,True,44
11,1,44,D7,False,
11,2,44,D7,False,
11,3,44,D7,True,44
11,4,43,D7,True,44
12,1,44,D7,True,44
12,2,44,D7,True,44
12,3,44,D7,False,
12,4,37,D7,False,
13,1,45,D7,False,
13,2,43,D7,True,45
13,3,37,D7,False,
13,4,43,D7,True,45
14,1,44,D7,True,44
14,2,44,D7,True,41
14,3,44,D7,False,
14,4,33,D7,False,
15,1,43,G-,True,50
15,2,50,G-,False,
15,3,44,A7,False,
15,4,44,A7,True,45
16,1,45,D7,False,
16,2,45,D7,False,
16,3,44,D7,True,45
16,4,45,D7,True,45
17,1,45,G,False,
17,2,45,G,True,44
17,3,44,G,False,
17,4,44,G,False,
18,1,44,G,False,
18,2,44,G,False,
18,3,44,G,True,44
18,4,44,G,True,44
19,1,45,G,True,45
19,2,45,G,False,
19,3,40,G,False,
19,4,38,G,False,
20,1,44,G7,False,
20,2,43,G7,True,45
20,3,44,G7,False,
20,4,44,G7,False,
21,1,43,C7,True,44
21,2,45,C7,True,44
21,3,43,C7,True,45
21,4,43,C7,True,44
22,1,44,C7,True,38
22,2,44,C7,False,
22,3,44,D7,True,44
22,4,45,D7,True,44
23,1,45,G,False,
23,2,44,G,False,
23,3,45,G,True,37
23,4,45,G,True,43
24,1,44,G,False,
24,2,42,G,False,
24,3,45,G,True,37
24,4,33,G,False,
25,1,34,D7,False,
25,2,45,D7,True,39
25,3,45,D7,False,
25,4,42,D7,False,
26,1,44,A7,False,
26,2,44,A7,False,
26,3,45,D7,True,44
26,4,44,D7,False,
27,1,44,G,True,45
27,2,43,G,True,45
27,3,45,G,True,44
27,4,44,G,False,
28,1,44,D7,False,
28,2,43,D7,True,44
28,3,43,D7,True,44
28,4,44,D7,False,
29,1,45,G,True,44
29,2,45,G,False,
29,3,45,G,True,44
29,4,44,G,True,38
30,1,43,G,True,44
30,2,44,G,False,
30,3,44,G,True,44
30,4,44,G,True,45
31,1,44,G,True,44
31,2,43,G,True,44
31,3,44,G,False,
31,4,43,G,True,44
32,1,45,G7,True,44
32,2,43,G7,True,45
32,3,45,G7,True,44
32,4,43,G7,True,44
33,1,44,C7,False,
33,2,44,C7,True,44
33,3,44,C7,False,
33,4,45,C7,False,
34,1,44,C7,False,
34,2,44,C7,True,44
34,3,44,D7,False,
34,4,43,D7,True,44
35,1,45,G,True,44
35,2,44,G,False,
35,3,43,G,True,44
35,4,43,G,True,33
36,1,44,G,False,
36,2,45,G,False,
36,3,38,G,False,
36,4,44,G,True,45
37,1,45,D7,True,44
37,2,43,D7,True,40
37,3,44,D7,False,
37,4,45,D7,False,
38,1,44,A7,False,
38,2,45,A7,True,44
38,3,45,D7,True,44
38,4,44,D7,True,44
39,1,43,G,True,44
39,2,45,G,False,
39,3,44,G,False,
39,4,44,G,False,
40,1,45,D7,True,44
40,2,44,D7,False,
40,3,45,D7,True,44
40,4,44,D7,True,38
41,1,44,G,True,44
41,2,44,G,False,
41,3,32,G,False,
41,4,32,G,False,
42,1,44,G,True,44
42,2,44,G,True,38
42,3,44,G,True,44
42,4,43,G,True,44
43,1,43,G,True,45
43,2,44,G,True,44
43,3,45,G,True,44
43,4,43,G,True,44
44,1,43,G7,True,44
44,2,43,G7,True,44
44,3,44,G7,False,
44,4,43,G7,True,44
45,1,45,C7,True,39
45,2,33,C7,False,
45,3,44,C7,True,45
45,4,45,C7,False,
46,1,44,C7,False,
46,2,44,C7,False,
46,3,43,D7,True,44
46,4,44,D7,False,
47,1,44,G,False,
47,2,43,G,True,45
47,3,44,G,False,
47,4,43,G,True,38
48,1,43,G,True,44
48,2,42,G,False,
48,3,45,G,True,44
48,4,39,G,False,
49,1,45,D7,True,37
49,2,43,D7,True,37
49,3,45,D7,True,50
49,4,45,D7,True,37
50,1,37,A7,False,
50,2,49,A7,False,
50,3,45,D7,True,37
50,4,37,D7,False,
51,1,44,G,True,50
51,2,44,G,False,
51,3,45,G,True,44
51,4,45,G,False,
52,1,45,G7,False,
52,2,45,G7,True,45
52,3,45,G7,True,44
52,4,44,G7,False,
53,1,37,G7,False,
53,2,44,G7,True,44
