bar,beat,note,chord,replaced,original_value
1,1,39,C-7,True,42
1,2,49,C-7,True,45
1,3,47,C-7,True,45
1,4,49,C-7,True,50
2,1,40,F7,True,42
2,2,50,F7,False,
2,3,48,F7,False,
2,4,44,F7,True,51
3,1,41,Bbj7,True,41
3,2,45,Bbj7,True,45
3,3,44,Ebj7,True,45
3,4,41,Ebj7,True,34
4,1,45,D-7,True,45
4,2,44,D-7,True,45
4,3,43,Db-7,False,
4,4,50,Db-7,False,
5,1,43,C-7,False,
5,2,45,C-7,False,
5,3,40,C-7,True,45
5,4,44,C-7,True,50
6,1,40,F7,True,43
6,2,50,F7,True,50
6,3,46,F7,True,48
6,4,47,F7,True,51
7,1,51,Bbj7,True,41
7,2,38,Bbj7,True,51
7,3,45,Bbj7,True,50
7,4,48,Bbj7,False,
8,1,48,C-7,True,50
8,2,51,C-7,True,45
8,3,51,C-7,True,42
8,4,40,C-7,True,45
9,1,51,C-7,True,42
9,2,43,C-7,True,45
9,3,42,C-7,True,42
9,4,42,C-7,True,50
10,1,47,F7,True,42
10,2,50,F7,False,
10,3,48,F7,False,
10,4,46,F7,True,51
11,1,41,Bbj7,False,
11,2,38,Bbj7,True,45
11,3,43,Ebj7,True,45
11,4,47,Ebj7,True,50
12,1,39,D-7,True,51
12,2,45,D-7,False,
12,3,42,Db-7,True,50
12,4,47,Db-7,True,44
13,1,43,C-7,False,
13,2,44,C-7,True,45
13,3,49,C-7,True,45
13,4,39,C-7,True,50
14,1,43,F7,False,
14,2,48,F7,True,50
14,3,46,F7,True,48
14,4,38,F7,True,51
15,1,41,Bb,False,
15,2,41,Bb,True,51
15,3,50,Bb,False,
15,4,45,Bb,True,49
16,1,41,F-7,True,48
16,2,47,F-7,True,41
16,3,38,Bb7,True,41
16,4,50,Bb7,False,
17,1,41,Ebj7,True,45
17,2,39,Ebj7,True,48
17,3,40,Ebj7,True,50
17,4,44,Ebj7,True,40
18,1,40,Eb-7,True,42
18,2,49,Eb-7,True,51
18,3,51,Eb-7,True,51
18,4,40,Eb-7,True,47
19,1,46,D-7,True,40
19,2,38,D-7,True,41
19,3,50,D-7,True,48
19,4,47,D-7,True,41
20,1,51,Ao7,False,
20,2,44,Ao7,True,38
20,3,45,D+7,False,
20,4,51,D+7,False,
21,1,45,G-7,True,50
21,2,43,G-7,True,48
21,3,42,G-7,True,51
21,4,39,G-7,True,45
22,1,44,C7,True,42
22,2,46,C7,True,45
22,3,50,C7,True,45
22,4,39,C7,True,50
23,1,44,C-7,True,43
23,2,43,C-7,True,45
23,3,45,C-7,False,
23,4,50,C-7,False,
24,1,50,F7,True,48
24,2,43,F7,True,48
24,3,50,F7,False,
24,4,50,F7,True,45
25,1,39,C-7,True,42
25,2,41,C-7,True,45
25,3,45,C-7,False,
25,4,40,C-7,True,50
26,1,48,F7,True,48
26,2,43,F7,True,48
26,3,50,F7,False,
26,4,44,F7,True,51
27,1,43,Bbj7,True,41
27,2,45,Bbj7,False,
27,3,44,Ebj7,True,45
27,4,49,Ebj7,True,45
28,1,41,D-7,True,45
28,2,46,D-7,True,45
28,3,46,Db-7,True,43
28,4,42,Db-7,True,50
29,1,50,C-7,True,43
29,2,39,C-7,True,45
29,3,40,C-7,True,45
29,4,41,C-7,True,50
30,1,48,F7,True,42
30,2,44,F7,True,50
30,3,39,F7,True,48
30,4,43,F7,True,51
31,1,43,Bbj7,True,51
31,2,49,Bbj7,True,51
31,3,48,Bbj7,True,50
31,4,42,Bbj7,True,49
32,1,47,Bbj7,True,48
32,2,48,Bbj7,False,
32,3,40,Bbj7,False,
32,4,50,Bbj7,False,
33,1,51,NC,True,42
