bar,beat,note,chord,replaced,original_value
1,1,46,C-7,True,43
1,2,46,C-7,True,43
1,3,39,C-7,True,42
1,4,41,C-7,True,50
2,1,46,Eb,True,43
2,2,40,Eb,True,40
2,3,45,Eb,True,43
2,4,41,Eb,True,42
3,1,47,C-7,True,43
3,2,46,C-7,True,43
3,3,50,C-7,True,42
3,4,50,C-7,True,43
4,1,43,Eb,True,42
4,2,44,Eb,True,43
4,3,38,Eb,True,50
4,4,39,Eb,True,45
5,1,40,C-7,True,43
5,2,48,C-7,True,42
5,3,48,C-7,True,42
5,4,40,C-7,True,43
6,1,50,Eb,True,43
6,2,43,Eb,True,42
6,3,44,Eb,True,43
6,4,40,Eb,True,50
7,1,47,C-7,True,43
7,2,50,C-7,True,50
7,3,46,C-7,True,42
7,4,45,C-7,True,50
8,1,47,Eb,True,48
8,2,40,Eb,True,43
8,3,38,Eb,True,43
8,4,46,Eb,True,50
9,1,50,F-,True,48
9,2,39,F-,True,43
9,3,39,F-,True,48
9,4,39,F-,True,48
10,1,46,Db,True,47
10,2,48,Db,True,42
10,3,45,Db,True,49
10,4,46,Db,True,44
11,1,38,F-,True,47
11,2,47,F-,True,43
11,3,47,F-,True,48
11,4,40,F-,True,43
12,1,38,Gb7,True,48
12,2,44,Gb7,True,44
12,3,50,Gb7,True,42
12,4,50,Gb7,True,40
13,1,50,C-7,True,43
13,2,39,C-7,True,50
13,3,50,C-7,True,42
13,4,44,C-7,True,43
14,1,45,Eb,True,47
14,2,46,Eb,True,43
14,3,46,Eb,True,43
14,4,42,Eb,True,50
15,1,44,C-7,True,43
15,2,42,C-7,True,50
15,3,44,C-7,True,38
15,4,41,C-7,True,50
16,1,39,Eb,True,43
16,2,49,Eb,True,43
16,3,48,Eb,True,43
16,4,45,Eb,True,44
17,1,50,C-7,True,43
17,2,45,C-7,True,50
17,3,43,C-7,True,38
17,4,43,C-7,True,43
18,1,46,Eb,True,47
18,2,40,Eb,True,43
18,3,49,Eb,True,43
18,4,40,Eb,True,50
19,1,41,C-7,True,43
19,2,45,C-7,True,50
19,3,44,C-7,True,43
19,4,49,C-7,True,43
20,1,38,Eb,True,43
20,2,50,Eb,True,43
20,3,39,Eb,True,43
20,4,43,Eb,True,44
21,1,43,C-7,True,43
21,2,42,C-7,True,50
21,3,38,C-7,True,40
21,4,42,C-7,True,43
22,1,42,Eb,True,43
22,2,48,Eb,True,43
22,3,41,Eb,True,43
22,4,47,Eb,True,42
23,1,50,C-7,True,43
23,2,50,C-7,True,38
23,3,45,C-7,True,43
23,4,42,C-7,True,50
24,1,40,Eb,True,43
24,2,40,Eb,True,44
24,3,38,Eb,True,44
24,4,41,Eb,True,49
25,1,45,F-,True,48
25,2,47,F-,True,48
25,3,46,F-,True,48
25,4,49,F-,True,43
26,1,38,Db,True,47
26,2,50,Db,True,42
26,3,41,Db,True,50
26,4,48,Db,True,47
27,1,50,F-,True,48
27,2,48,F-,True,48
27,3,42,F-,True,48
27,4,47,F-,True,43
28,1,39,Gb7,True,49
28,2,38,Gb7,True,42
28,3,49,Gb7,True,42
28,4,40,Gb7,True,42
29,1,41,C-7,True,43
29,2,44,C-7,True,50
29,3,48,C-7,True,43
29,4,41,C-7,True,43
30,1,47,Eb,True,42
30,2,49,Eb,True,43
30,3,43,Eb,True,43
30,4,49,Eb,True,43
31,1,45,C-7,True,43
31,2,41,C-7,True,43
31,3,45,C-7,True,38
31,4,40,C-7,True,43
32,1,47,Eb,True,47
32,2,45,Eb,True,43
32,3,44,Eb,True,50
32,4,39,Eb,True,50
33,1,48,C-7,True,43
33,2,44,C-7,True,44
33,3,45,C-7,True,42
33,4,46,C-7,True,43
34,1,44,Eb,True,48
34,2,49,Eb,True,50
34,3,41,Eb,True,50
34,4,46,Eb,True,48
