bar,beat,note,chord,replaced,original_value
1,1,40,G-7,True,38
1,2,51,G-7,True,40
1,3,43,G-7,True,40
1,4,51,G-7,True,48
2,1,39,G-7,True,42
2,2,37,G-7,True,51
2,3,40,G-7,True,52
2,4,38,G-7,True,45
3,1,44,G-7,True,50
3,2,43,G-7,True,52
3,3,40,G-7,True,41
3,4,40,G-7,True,42
4,1,42,G-7,True,50
4,2,41,G-7,True,45
4,3,39,G-7,True,41
4,4,51,G-7,True,43
5,1,45,C-7,True,43
5,2,39,C-7,True,34
5,3,40,C-7,True,50
5,4,52,C-7,True,50
6,1,33,C-7,True,52
6,2,47,C-7,True,38
6,3,40,C-7,True,40
6,4,38,C-7,True,44
7,1,48,G-7,True,50
7,2,47,G-7,True,44
7,3,52,G-7,True,37
7,4,41,G-7,True,45
8,1,48,G-7,True,50
8,2,42,G-7,True,52
8,3,41,G-7,True,37
8,4,35,G-7,True,50
9,1,49,Eb7alt,True,51
9,2,43,Eb7alt,True,52
9,3,34,Eb7alt,True,41
9,4,43,Eb7alt,True,40
10,1,47,D7,True,51
10,2,34,D7,True,38
10,3,36,D7,True,44
10,4,42,D7,True,44
11,1,41,G-7,True,50
11,2,39,G-7,True,43
11,3,38,G-7,True,41
11,4,44,G-7,True,48
12,1,39,D7,True,42
12,2,36,D7,True,52
12,3,40,C-7,True,40
12,4,40,C-7,True,45
13,1,51,G-7,True,50
13,2,51,G-7,True,42
13,3,44,G-7,True,37
13,4,46,G-7,True,37
14,1,37,G-7,True,37
14,2,42,G-7,True,37
14,3,45,G-7,True,37
14,4,45,G-7,True,37
15,1,43,G-7,True,37
15,2,52,G-7,True,44
15,3,52,G-7,True,37
15,4,37,G-7,True,50
16,1,45,G-7,True,38
16,2,50,G-7,True,43
16,3,49,G-7,True,43
16,4,46,G-7,True,50
17,1,42,C-7,True,43
17,2,51,C-7,True,46
17,3,44,C-7,True,50
17,4,38,C-7,True,41
18,1,46,C-7,True,52
18,2,34,C-7,True,40
18,3,34,C-7,True,45
18,4,36,C-7,True,37
19,1,41,G-7,True,38
19,2,37,G-7,True,40
19,3,45,G-7,True,40
19,4,34,G-7,True,45
20,1,43,G-7,True,50
20,2,51,G-7,True,52
20,3,44,G-7,True,37
20,4,33,G-7,True,50
21,1,48,Eb7alt,True,40
21,2,33,Eb7alt,True,47
21,3,48,Eb7alt,True,51
21,4,52,Eb7alt,True,45
22,1,35,D7,True,44
22,2,33,D7,True,51
22,3,49,D7,True,44
22,4,36,D7,True,44
23,1,33,G-7,True,50
23,2,45,G-7,True,40
23,3,50,G-7,True,38
23,4,48,G-7,True,50
24,1,51,D7,True,52
24,2,41,D7,True,40
24,3,45,D7,True,45
24,4,45,D7,True,37
25,1,43,G-7,True,38
25,2,41,G-7,True,42
25,3,35,G-7,True,37
25,4,33,G-7,True,37
26,1,45,G-7,True,42
26,2,41,G-7,True,37
26,3,52,G-7,True,52
26,4,33,G-7,True,37
27,1,34,G-7,True,42
27,2,36,G-7,True,40
27,3,34,G-7,True,50
27,4,50,G-7,True,38
28,1,52,G-7,True,38
28,2,43,G-7,True,43
28,3,39,G-7,True,45
28,4,34,G-7,True,50
29,1,40,C-7,True,43
29,2,41,C-7,True,42
29,3,33,C-7,True,50
29,4,49,C-7,True,37
30,1,49,C-7,True,40
30,2,34,C-7,True,44
30,3,42,C-7,True,45
30,4,35,C-7,True,50
31,1,34,G-7,True,50
31,2,45,G-7,True,37
31,3,36,G-7,True,37
31,4,41,G-7,True,37
32,1,48,G-7,True,50
32,2,49,G-7,True,45
32,3,39,G-7,True,52
32,4,48,G-7,True,37
33,1,45,Eb7alt,True,51
33,2,47,Eb7alt,True,42
33,3,39,Eb7alt,True,45
33,4,33,Eb7alt,True,41
34,1,51,D7,True,51
34,2,38,D7,True,45
34,3,43,D7,True,44
34,4,48,D7,True,44
35,1,48,G-7,True,50
35,2,51,G-7,True,45
35,3,39,G-7,True,43
35,4,36,G-7,True,40
36,1,34,D7,True,40
36,2,46,D7,True,44
36,3,45,D7,True,33
36,4,38,D7,True,49
37,1,51,G-7,True,37
37,2,49,G-7,True,42
37,3,35,G-7,True,37
37,4,49,G-7,True,37
38,1,36,G-7,True,37
38,2,40,G-7,True,37
38,3,46,G-7,True,52
38,4,33,G-7,True,37
39,1,39,G-7,True,37
39,2,48,G-7,True,50
39,3,41,G-7,True,40
39,4,33,G-7,True,41
40,1,51,G-7,True,42
40,2,50,G-7,True,50
40,3,37,G-7,True,45
40,4,40,G-7,True,42
41,1,46,C-7,True,43
41,2,45,C-7,True,42
41,3,47,C-7,True,50
41,4,39,C-7,True,41
42,1,37,C-7,True,52
42,2,35,C-7,True,45
42,3,38,C-7,True,40
42,4,44,C-7,True,37
43,1,44,G-7,True,38
43,2,34,G-7,True,40
43,3,34,G-7,True,41
43,4,38,G-7,True,45
44,1,33,G-7,True,50
44,2,39,G-7,True,37
44,3,43,G-7,True,37
44,4,50,G-7,True,50
45,1,52,Eb7alt,True,51
45,2,43,Eb7alt,True,42
