bar,beat,note,chord,replaced,original_value
1,1,47,Fj7,True,40
1,2,40,Fj7,True,43
1,3,43,Fj7,True,44
1,4,50,Fj7,True,45
2,1,41,G-7,True,50
2,2,38,G-7,True,52
2,3,46,C7,True,40
2,4,45,C7,True,44
3,1,44,A-7,True,43
3,2,47,A-7,True,41
3,3,45,A-7,True,38
3,4,41,A-7,True,40
4,1,46,G-7,True,40
4,2,39,G-7,True,40
4,3,39,C7,True,38
4,4,48,C7,True,40
5,1,45,F7,True,44
5,2,37,F7,True,38
5,3,39,F7,True,38
5,4,43,F7,True,38
6,1,45,Bbj7,True,41
6,2,41,Bbj7,True,38
6,3,44,Bbj7,True,38
6,4,43,Bbj7,True,38
7,1,50,G-7,True,38
7,2,45,G-7,True,38
7,3,45,C7,True,38
7,4,40,C7,True,50
8,1,44,Fj7,True,48
8,2,37,Fj7,True,50
8,3,45,Fj7,True,38
8,4,39,Fj7,True,40
9,1,46,Fj7,True,40
9,2,48,Fj7,True,51
9,3,50,Fj7,True,44
9,4,41,Fj7,True,44
10,1,41,G-7,True,41
10,2,49,G-7,True,50
10,3,41,C7,True,44
10,4,50,C7,True,44
11,1,42,A-7,True,43
11,2,50,A-7,True,51
11,3,47,A-7,True,44
11,4,40,A-7,True,51
12,1,50,G-7,True,50
12,2,45,G-7,True,42
12,3,45,C7,True,43
12,4,44,C7,True,40
13,1,40,F7,True,38
13,2,45,F7,True,37
13,3,37,F7,True,37
13,4,43,F7,True,38
14,1,42,Bbj7,True,38
14,2,49,Bbj7,True,41
14,3,46,Bbj7,True,41
14,4,42,Bbj7,True,38
15,1,37,G-7,True,38
15,2,49,G-7,True,41
15,3,41,C7,True,51
15,4,48,C7,True,50
16,1,44,Fj7,True,48
16,2,48,Fj7,True,37
16,3,38,Fj7,True,52
16,4,46,Fj7,True,38
17,1,49,Bb-7,True,40
17,2,44,Bb-7,True,41
17,3,38,Bb-7,True,40
17,4,46,Bb-7,True,41
18,1,38,Aj7,True,41
18,2,37,Aj7,True,40
18,3,45,Aj7,True,38
18,4,45,Aj7,True,40
19,1,43,Ab-7,True,40
19,2,39,Ab-7,True,51
19,3,37,Ab-7,True,38
19,4,50,Ab-7,True,51
20,1,47,Gj7,True,51
20,2,45,Gj7,True,38
20,3,40,Gj7,True,38
20,4,50,Gj7,True,50
21,1,38,Gbj7,True,38
21,2,39,Gbj7,True,37
21,3,42,Gbj7,True,44
21,4,40,Gbj7,True,37
22,1,39,F7,True,37
22,2,50,F7,True,44
22,3,45,D7,True,44
22,4,43,D7,True,51
23,1,50,G-7,True,50
23,2,39,G-7,True,52
23,3,47,G-7,True,41
23,4,49,G-7,True,50
24,1,37,C7,True,43
24,2,45,C7,True,41
24,3,42,C7,True,38
24,4,50,C7,True,38
25,1,42,Fj7,True,40
25,2,47,Fj7,True,43
25,3,48,Fj7,True,38
25,4,46,Fj7,True,44
26,1,50,G-7,True,44
26,2,46,G-7,True,51
26,3,45,C7,True,44
26,4,49,C7,True,51
27,1,46,A-7,True,38
27,2,45,A-7,True,51
27,3,38,A-7,True,47
27,4,39,A-7,True,51
28,1,49,G-7,True,38
28,2,47,G-7,True,38
28,3,44,C7,True,38
28,4,38,C7,True,43
29,1,40,F7,True,43
29,2,43,F7,True,41
29,3,38,F7,True,38
29,4,37,F7,True,40
30,1,48,Bbj7,True,41
30,2,42,Bbj7,True,44
30,3,50,Bbj7,True,44
30,4,44,Bbj7,True,40
31,1,48,G-7,True,43
31,2,50,G-7,True,41
31,3,45,C7,True,51
31,4,40,C7,True,51
32,1,41,Fj7,True,44
32,2,43,Fj7,True,44
32,3,47,Fj7,True,44
32,4,37,Fj7,True,43
33,1,37,Fj7,True,40
33,2,40,Fj7,True,43
33,3,50,Fj7,True,44
