bar,beat,note,chord,replaced,original_value
1,1,51,F7,True,48
1,2,42,F7,True,40
1,3,40,F7,True,42
1,4,50,F7,True,47
2,1,34,Bb7,True,41
2,2,41,Bb7,True,48
2,3,36,Bb7,True,42
2,4,38,Bb7,True,49
3,1,51,F7,True,43
3,2,35,F7,True,47
3,3,50,F7,True,48
3,4,51,F7,True,50
4,1,42,F7,True,51
4,2,43,F7,True,48
4,3,47,F7,True,34
4,4,38,F7,True,42
5,1,46,Bb7,True,41
5,2,46,Bb7,True,48
5,3,49,Bb7,True,41
5,4,40,Bb7,True,51
6,1,49,Bb7,True,50
6,2,38,Bb7,True,51
6,3,41,Bb7,True,38
6,4,51,Bb7,True,41
7,1,50,F7,True,50
7,2,51,F7,True,43
7,3,39,F7,True,45
7,4,48,F7,True,47
8,1,46,F7,True,47
8,2,41,F7,True,38
8,3,34,F7,True,34
8,4,37,F7,True,51
9,1,47,G-7,True,50
9,2,36,G-7,True,38
9,3,37,G-7,True,50
9,4,38,G-7,True,41
10,1,43,C7,True,38
10,2,38,C7,True,50
10,3,43,C7,True,49
10,4,36,C7,True,43
11,1,34,F7,True,48
11,2,40,F7,True,40
11,3,34,F7,True,45
11,4,50,F7,True,42
12,1,43,C7,True,42
12,2,50,C7,True,43
12,3,50,C7,True,40
12,4,44,C7,True,37
13,1,45,F7,True,47
13,2,35,F7,True,42
13,3,46,F7,True,45
13,4,35,F7,True,42
14,1,43,Bb7,True,41
14,2,42,Bb7,True,41
14,3,46,Bb7,True,42
14,4,49,Bb7,True,42
15,1,45,F7,True,42
15,2,42,F7,True,45
15,3,49,F7,True,47
15,4,34,F7,True,48
16,1,35,F7,True,43
16,2,35,F7,True,45
16,3,43,F7,True,34
16,4,42,F7,True,42
17,1,39,Bb7,True,41
17,2,36,Bb7,True,48
17,3,34,Bb7,True,41
17,4,50,Bb7,True,51
18,1,45,Bb7,True,50
18,2,41,Bb7,True,50
18,3,46,Bb7,True,42
18,4,42,Bb7,True,38
19,1,38,F7,True,38
19,2,50,F7,True,38
19,3,51,F7,True,38
19,4,48,F7,True,44
20,1,37,F7,True,43
20,2,45,F7,True,44
20,3,40,F7,True,51
20,4,35,F7,True,45
21,1,40,G-7,True,50
21,2,38,G-7,True,50
21,3,43,G-7,True,50
21,4,49,G-7,True,50
22,1,43,C7,True,48
22,2,38,C7,True,47
22,3,43,C7,True,43
22,4,42,C7,True,41
23,1,38,F7,True,40
23,2,36,F7,True,43
23,3,41,F7,True,45
23,4,49,F7,True,47
24,1,34,C7,True,48
24,2,37,C7,True,38
24,3,43,C7,True,50
24,4,35,C7,True,43
25,1,44,F7,True,48
25,2,39,F7,True,40
25,3,46,NC,True,45
