bar,beat,note,chord,replaced,original_value
1,1,40,Fj7,True,48
1,2,42,Fj7,True,50
1,3,44,Fj7,True,50
1,4,45,Fj7,True,48
2,1,46,Em7b5,True,47
2,2,43,Em7b5,True,50
2,3,47,A79b,True,37
2,4,42,A79b,True,50
3,1,34,D-7,True,48
3,2,51,D-7,True,47
3,3,44,G7,True,45
3,4,45,G7,True,44
4,1,41,C-7,True,43
4,2,45,C-7,True,50
4,3,37,F7,True,48
4,4,38,F7,True,49
5,1,37,Bb7,True,50
5,2,34,Bb7,True,50
5,3,47,Bb7,True,50
5,4,36,Bb7,True,37
6,1,41,Bb-7,True,37
6,2,49,Bb-7,True,37
6,3,50,Eb7,True,37
6,4,36,Eb7,True,50
7,1,36,A-7,True,47
7,2,44,A-7,True,50
7,3,35,D7,True,37
7,4,45,D7,True,47
8,1,42,Ab-7,True,34
8,2,36,Ab-7,True,50
8,3,47,Db7,True,51
8,4,39,Db7,True,44
9,1,50,G-7,True,45
9,2,43,G-7,True,50
9,3,41,G-7,True,50
9,4,42,G-7,True,48
10,1,39,C7,True,47
10,2,36,C7,True,45
10,3,38,C7,True,43
10,4,45,C7,True,37
11,1,39,Fj7,True,37
11,2,45,Fj7,True,48
11,3,51,D-7,True,42
11,4,46,D-7,True,43
12,1,41,G-7,True,50
12,2,36,G-7,True,48
12,3,36,C7,True,37
12,4,42,C7,True,37
13,1,44,Fj7,True,37
13,2,51,Fj7,True,37
13,3,44,Fj7,True,37
13,4,50,Fj7,True,38
14,1,41,Em7b5,True,38
14,2,40,Em7b5,True,50
14,3,49,A79b,True,37
14,4,51,A79b,True,37
15,1,40,D-7,True,37
15,2,40,D-7,True,37
15,3,36,G7,True,37
15,4,49,G7,True,50
16,1,43,C-7,True,50
16,2,47,C-7,True,38
16,3,41,F7,True,37
16,4,38,F7,True,51
17,1,37,Bb7,True,51
17,2,49,Bb7,True,37
17,3,34,Bb7,True,37
17,4,45,Bb7,True,38
18,1,46,Bb-7,True,37
18,2,50,Bb-7,True,50
18,3,36,Eb7,True,50
18,4,35,Eb7,True,34
19,1,35,A-7,True,47
19,2,37,A-7,True,40
19,3,37,D7,True,47
19,4,36,D7,True,50
20,1,40,Ab-7,True,51
20,2,37,Ab-7,True,37
20,3,49,Db7,True,50
20,4,43,Db7,True,37
21,1,51,G-7,True,50
21,2,40,G-7,True,50
21,3,35,G-7,True,50
21,4,45,G-7,True,37
22,1,35,C7,True,37
22,2,35,C7,True,37
22,3,35,C7,True,37
22,4,45,C7,True,37
23,1,40,Fj7,True,37
23,2,43,Fj7,True,50
23,3,40,D-7,True,37
23,4,50,D-7,True,40
24,1,46,G-7,True,40
24,2,34,G-7,True,42
24,3,43,C7,True,43
24,4,34,C7,True,37
25,1,45,Fj7,True,51
25,2,44,Fj7,True,45
25,3,49,Fj7,True,43
25,4,44,Fj7,True,48
26,1,36,Em7b5,True,47
26,2,38,Em7b5,True,47
26,3,47,A79b,True,37
26,4,46,A79b,True,37
27,1,37,D-7,True,45
27,2,47,D-7,True,50
27,3,48,G7,True,51
27,4,47,G7,True,43
28,1,47,C-7,True,43
28,2,45,C-7,True,50
28,3,37,F7,True,49
28,4,41,F7,True,42
29,1,48,Bb7,True,37
29,2,36,Bb7,True,48
29,3,45,Bb7,True,50
29,4,41,Bb7,True,50
30,1,39,Bb-7,True,37
30,2,38,Bb-7,True,49
30,3,39,Eb7,True,49
30,4,34,Eb7,True,34
31,1,40,A-7,True,50
31,2,44,A-7,True,37
31,3,48,D7,True,47
31,4,41,D7,True,50
32,1,49,Ab-7,True,51
32,2,43,Ab-7,True,50
32,3,51,Db7,True,50
32,4,47,Db7,True,37
33,1,51,G-7,True,50
33,2,42,G-7,True,50
33,3,34,G-7,True,51
33,4,46,G-7,True,50
34,1,40,C7,True,50
34,2,34,C7,True,50
34,3,49,C7,True,37
34,4,45,C7,True,37
35,1,38,Fj7,True,50
35,2,46,Fj7,True,48
35,3,44,D-7,True,47
35,4,41,D-7,True,45
36,1,43,G-7,True,43
36,2,34,G-7,True,38
36,3,49,C7,True,37
36,4,38,C7,True,50
37,1,35,Fj7,True,48
37,2,43,Fj7,True,37
37,3,36,Fj7,True,50
