bar,beat,note,chord,replaced,original_value
1,1,39,Bb,True,47
1,2,42,Bb,True,41
1,3,45,Bb,True,47
1,4,48,Bb,True,47
2,1,37,Bb,True,42
2,2,46,Bb,True,42
2,3,43,Bb,True,47
2,4,39,Bb,True,48
3,1,42,Bb,True,47
3,2,47,Bb,True,47
3,3,51,Bb,True,47
3,4,39,Bb,True,47
4,1,43,Bb,True,42
4,2,42,Bb,True,47
4,3,46,Bb,True,47
4,4,48,Bb,True,47
5,1,42,Db,True,48
5,2,38,Db,True,44
5,3,41,Db,True,47
5,4,41,Db,True,45
6,1,44,Eb,True,45
6,2,40,Eb,True,34
6,3,38,Eb,True,34
6,4,38,Eb,True,47
7,1,42,Bb,True,47
7,2,39,Bb,True,42
7,3,47,Bb,True,47
7,4,47,Bb,True,47
8,1,43,Bb,True,47
8,2,38,Bb,True,47
8,3,39,Bb,True,47
8,4,50,Bb,True,47
9,1,43,Gb7911#,True,37
9,2,49,Gb7911#,True,37
9,3,47,Gb7911#,True,49
9,4,39,Gb7911#,True,47
10,1,51,Ab,True,51
10,2,38,Ab,True,39
10,3,40,Ab,True,47
10,4,47,Ab,True,40
11,1,47,Bb,True,47
11,2,39,Bb,True,41
11,3,49,Bb,True,40
11,4,39,Bb,True,47
12,1,45,Bb,True,47
12,2,40,Bb,True,34
12,3,51,Bb,True,51
12,4,37,Bb,True,48
13,1,47,Bb,True,47
13,2,44,Bb,True,42
13,3,45,Bb,True,47
13,4,38,Bb,True,47
14,1,48,Bb,True,47
14,2,46,Bb,True,41
14,3,47,Bb,True,40
14,4,42,Bb,True,47
15,1,39,Bb,True,47
15,2,43,Bb,True,42
15,3,41,Bb,True,42
15,4,39,Bb,True,47
16,1,45,Bb,True,47
16,2,42,Bb,True,47
16,3,41,Bb,True,47
16,4,43,Bb,True,47
17,1,47,Db,True,47
17,2,41,Db,True,44
17,3,46,Db,True,47
17,4,50,Db,True,44
18,1,47,Eb,True,47
18,2,38,Eb,True,34
18,3,48,Eb,True,47
18,4,38,Eb,True,47
19,1,42,Bb,True,47
19,2,42,Bb,True,47
19,3,43,Bb,True,47
19,4,41,Bb,True,48
20,1,40,Bb,True,42
20,2,41,Bb,True,40
20,3,40,Bb,True,47
20,4,45,Bb,True,47
21,1,39,Gb7911#,True,37
21,2,49,Gb7911#,True,37
21,3,38,Gb7911#,True,49
21,4,46,Gb7911#,True,49
22,1,46,Ab,True,47
22,2,50,Ab,True,51
22,3,44,Ab,True,47
22,4,47,Ab,True,47
23,1,41,Bb,True,47
23,2,45,Bb,True,41
23,3,47,Bb,True,47
23,4,51,Bb,True,47
24,1,43,Bb,True,47
24,2,48,Bb,True,47
24,3,37,Bb,True,51
24,4,40,Bb,True,48
25,1,37,Bbj7,True,48
25,2,49,Bbj7,True,42
25,3,42,Bbj7,True,47
25,4,48,Bbj7,True,47
26,1,44,Bbj7,True,47
26,2,48,Bbj7,True,47
26,3,46,Bbj7,True,51
26,4,46,Bbj7,True,48
27,1,41,Bbj7,True,47
27,2,42,Bbj7,True,47
27,3,43,Bbj7,True,47
27,4,41,Bbj7,True,47
28,1,44,Bbj7,True,47
28,2,39,Bbj7,True,47
28,3,46,Bbj7,True,47
28,4,43,Bbj7,True,47
29,1,50,Dbj7,True,44
29,2,42,Dbj7,True,44
29,3,39,Dbj7,True,47
29,4,50,Dbj7,True,44
30,1,49,Ebj7,True,47
30,2,37,Ebj7,True,34
30,3,45,Ebj7,True,47
30,4,38,Ebj7,True,47
31,1,38,Bbj7,True,47
31,2,42,Bbj7,True,41
31,3,46,Bbj7,True,47
31,4,38,Bbj7,True,47
32,1,41,Bbj7,True,42
32,2,47,Bbj7,True,41
32,3,42,Bbj7,True,47
32,4,41,Bbj7,True,47
33,1,45,Bb-7,True,37
33,2,45,Bb-7,True,37
33,3,49,Fj7,True,44
33,4,50,Fj7,True,47
34,1,38,Ab-7,True,47
34,2,39,Ab-7,True,47
34,3,37,Eb,True,47
34,4,41,Eb,True,47
35,1,49,Bb,True,41
35,2,45,Bb,True,41
35,3,42,Ab-,True,51
35,4,50,Ab-,True,45
36,1,38,Bb,True,34
36,2,41,Bb,True,34
36,3,47,Bb,True,34
36,4,38,Bb,True,34
37,1,42,Bb,True,34
37,2,38,Bb,True,34
37,3,43,Bb,True,34
